DAY,Muscle Mass,Anabolic,Catabolic
1,16.31657451,50.22106926,52.17279316
2,16.30695343,50.08369272,52.03954445
3,16.29726556,50.03164343,52
4,16.28745663,50.00726409,52
5,16.3064042,81.31570302,75.3538474
6,16.32882608,75.76158936,69.26666518
7,16.3550981,70.32382195,63.32421253
8,16.38521974,65.00971627,57.63815217
9,16.41193545,59.82906702,53.69666185
10,16.4533122,89.94974988,76.2106241
11,16.49927809,84.24458446,70.11543824
12,16.54933734,78.64841132,64.16420908
13,16.59975895,73.16801017,58.42316318
14,16.64767254,67.80918158,54.15501092
15,16.70150941,98.25166445,77.0229834
16,16.75487812,92.42093683,70.92555249
17,16.807202,86.69310601,64.97105639
18,16.85835323,81.07352906,59.19387444
19,16.90845418,75.56717056,54.62189906
20,16.96298684,105.9271191,77.51027362
21,17.01649634,99.99265585,71.41759715
22,17.0689109,94.155518,65.46669242
23,17.12017011,88.42050205,59.72058246
24,17.17042728,82.79198502,55.08144044
25,17.22510058,113.5931065,78.39464787
26,17.27875818,107.5618715,72.2974217
27,17.33133112,101.6234896,66.34089482
28,17.38275212,95.78206099,60.55015195
29,17.43312612,90.04138397,55.6626779
30,17.48794716,121.1798767,79.30995857
31,17.54176691,115.0598876,73.2070171
32,17.5945166,109.0281651,67.2427909
33,17.64612591,103.0885118,61.42630229
34,17.69658794,97.24441757,56.05692468
35,17.75146079,128.296794,79.70203605
36,17.80533866,122.1014408,73.60610882
37,17.85815328,115.9906936,67.64798856
38,17.90983578,109.9679783,61.83662319
39,17.96039984,104.0364083,56.54612974
40,18.01536411,135.102169,80.25696493
41,18.06934253,128.8388361,74.16251702
42,18.12226701,122.6567046,68.20458761
43,18.17406978,116.5589873,62.39476029
44,18.224743,110.5485935,57.01260513
45,18.27988638,142.4492159,81.43539125
46,18.33405837,136.1164909,75.33029236
47,18.38719246,129.8615461,69.35972423
48,18.43922229,123.6873926,63.53450999
49,18.49014055,117.5967483,58.12774392
50,18.54544285,149.2643625,82.41094057
51,18.59978493,142.8703745,76.29773343
52,18.65310047,136.5515085,70.31751748
53,18.7053239,130.3106012,64.47900945
54,18.75639462,124.1501688,58.83731293
55,18.81174587,155.2561945,82.81380539
56,18.86614433,148.8142606,76.70721502
57,18.91952376,142.4451765,70.73256312
58,18.97181919,136.1515732,64.89854679
59,19.02297139,129.9357901,59.26208458
60,19.07855,162.0342112,84.3715643
61,19.13318885,155.5382071,78.24718259
62,19.1868251,149.1129001,72.25295759
63,19.23939642,142.76061,66.39714731
64,19.29087029,136.4834548,60.83329145
65,19.34683862,169.3639502,86.94069263
66,19.40188671,162.806683,80.7763352
67,19.45595696,156.3213022,74.73951915
68,19.50899059,149.9065947,68.8378117
69,19.56092526,143.5644661,63.08890601
70,19.61735107,176.8879769,90.10184893
71,19.67288068,170.250484,83.88819236
72,19.72746076,163.7062031,77.79885612
73,19.78103612,157.2304538,71.84085474
74,19.833546,150.8249239,66.02139634
