DAY,Muscle Mass,Anabolic,Catabolic
1,16.42923185,50.22213423,52.17486028
2,16.42610407,50.09424918,52.05080442
3,16.42298022,50.04962939,52.0026623
4,16.41981198,50.01942398,52
5,16.42592739,80.98150143,75.07725183
6,16.43317773,75.44911458,69.00826698
7,16.44168375,70.0317232,63.08299663
8,16.45152724,64.73662444,57.36302463
9,16.45999087,59.57159859,53.60056233
10,16.47340083,90.66033744,76.8856383
11,16.48827156,84.94817905,70.78055104
12,16.50444117,79.34279519,64.81703343
13,16.52094092,73.85038279,59.00617836
14,16.53691765,68.47659924,54.43088995
15,16.55460449,99.02263262,77.38440166
16,16.57198827,93.17389476,71.27504331
17,16.58901348,87.42547058,65.30651794
18,16.60565616,81.78273111,59.49083933
19,16.62197226,76.25057916,54.86675642
20,16.6396965,106.3720715,77.5692517
21,16.65708679,100.4138781,71.46246862
22,16.67411974,94.55091006,65.49604791
23,16.69077217,88.7879562,59.69078559
24,16.70712007,83.12942624,55.31068048
25,16.72489209,113.7071464,78.44415572
26,16.74233361,107.6451706,72.32224192
27,16.75942147,101.673827,66.33927297
28,16.77613191,95.797476,60.5046675
29,16.79249296,90.02013376,55.50837137
30,16.81026125,120.2019376,78.39862898
31,16.82769946,114.054786,72.28307928
32,16.84478414,107.994637,66.3062914
33,16.8614935,102.025557,60.50206625
34,16.87785634,96.15122412,55.54163979
35,16.89566543,127.1713347,79.15821288
36,16.91314711,120.93694,73.03045207
37,16.9302786,114.7860582,67.04033774
38,16.94703684,108.7223185,61.20130925
39,16.96343383,102.7491042,55.99380084
40,16.98123087,132.8955454,78.97357923
41,16.99870012,126.595147,72.85558389
42,17.01581865,120.375644,66.87538591
43,17.03256317,114.2403937,61.04323816
44,17.04896513,108.1925285,56.08283229
45,17.06683118,139.7637532,80.25861641
46,17.08437208,133.3854525,74.1165442
47,17.10156623,127.0854382,68.11118719
48,17.11839104,120.8666543,62.25132869
49,17.13484581,114.7319528,56.85201588
50,17.15272886,145.6048856,80.57144371
51,17.17028886,139.1643354,74.42695883
52,17.18750369,132.7996501,68.41833418
53,17.2043509,126.5136922,62.55455598
54,17.22081974,120.3091168,57.02341458
55,17.23871666,151.3255418,80.90405619
56,17.25629089,144.8280135,74.75847851
57,17.273521,138.4042928,68.74858881
58,17.29038491,132.0569616,62.8830962
59,17.30687847,125.7884845,57.42848705
60,17.3247905,156.462106,81.24123213
61,17.34238281,149.915384,75.09398193
62,17.35963343,143.4403623,69.08119255
63,17.37652008,137.0396147,63.21179825
64,17.39301934,130.7155448,57.51128689
65,17.41098809,162.3428817,82.37058818
