DAY,Muscle Mass,Anabolic,Catabolic
1,1718.847131,50.21335754,52.16784419
2,1717.8833,50.08732926,52.04671719
3,1716.919391,50.04387293,52.00237495
4,1715.943879,50.01807721,52
5,1717.895528,82.55272056,76.33272376
6,1720.195505,77.03313313,70.27066727
7,1722.877545,71.62720757,64.35745628
8,1725.920526,66.34202678,58.73745101
9,1729.022518,61.20296808,54.01230068
10,1733.464246,93.01020849,77.88350035
11,1738.366571,87.30827589,71.7975321
12,1743.470915,81.71242687,65.85256572
13,1748.566106,76.22859593,60.07655936
14,1753.49547,70.86195828,55.01995409
15,1758.961007,103.0649128,79.30982396
16,1764.344834,97.21286875,73.2077236
17,1769.621427,91.45981916,67.24472238
18,1774.784155,85.81055378,61.44187869
19,1779.82825,80.26940915,55.99112919
20,1785.330202,112.5596287,80.44082001
21,1790.733006,106.5805142,74.32879529
22,1796.030048,100.6943653,68.35409579
23,1801.214587,94.90530377,62.52540183
24,1806.282108,89.21708205,56.97403877
25,1811.817446,122.912962,82.61628018
26,1817.255766,116.8070316,76.47287374
27,1822.590926,110.7883214,70.46390912
28,1827.816479,104.8602449,64.59745813
29,1832.926463,99.02608801,58.93208834
30,1838.472138,131.0629798,83.31819464
31,1843.921824,124.8690668,77.17448507
32,1849.269212,118.7582189,71.16378725
33,1854.507985,112.7336899,65.29439129
34,1859.632521,106.7984013,59.63065211
35,1865.19828,139.570334,84.6588056
36,1870.669308,133.2901184,78.50136844
37,1876.039649,127.089221,72.47521794
38,1881.303201,120.9704151,66.58818024
39,1886.454407,114.9363172,60.89873004
40,1892.041386,147.8646828,86.09911194
41,1897.535073,141.5062871,79.92622939
42,1902.929625,135.2237922,73.8826738
43,1908.219097,129.0197667,67.97612857
44,1913.396901,122.8966095,62.21452306
45,1918.996741,155.3148593,87.066813
46,1924.504622,148.8928845,80.88965784
47,1929.914602,142.5438214,74.84000109
48,1935.220772,136.2701584,68.92565369
49,1940.416647,130.0741561,63.15432414
50,1946.03533,162.466472,88.43056974
51,1951.563276,155.9865331,82.24082348
52,1956.994757,149.5772043,76.17689913
53,1962.324058,143.2406806,70.24633169
54,1967.544902,136.9790062,64.4565802
55,1973.187745,169.3080622,90.12943454
56,1978.741233,162.7746905,83.91971474
57,1984.199955,156.3105932,77.83394558
58,1989.55842,149.917008,71.87924458
59,1994.81057,143.5957832,66.06277878
60,2000.48803,176.3961891,92.57618651
61,2006.077912,169.7822637,86.33221228
62,2011.57505,163.2632532,80.20977866
63,2016.974218,156.8127343,74.21569573
64,2022.269674,150.4323626,68.35679243
65,2027.955326,180.5575593,93.2625929
66,2033.554407,173.8470311,87.02006512
67,2039.061581,167.3033563,80.89768326
68,2044.471681,160.8280747,74.90248303
69,2049.779056,154.4215446,69.04122057
70,2055.492207,185.4473229,95.36179233
71,2061.120003,178.6626735,89.0943247
72,2066.657517,172.086905,82.94535944
73,2072.099829,165.5807192,76.92138179
74,2077.441543,159.1418866,71.02882714
75,2083.178541,189.2733176,97.16143511
76,2088.831785,182.4041362,90.87388466
77,2094.396386,175.791082,84.70265825
78,2099.867556,169.2644716,78.65420261
79,2105.24007,162.8039748,72.73478667
80,2111.017725,193.1906452,100.2640816
81,2116.713514,186.2641301,93.93342989
82,2122.322981,179.6451186,87.71657236
83,2127.841615,173.0979749,81.61938564
84,2133.264474,166.6156946,75.64778044
85,2139.08373,195.538057,103.6155778
86,2144.823194,188.4588343,97.24045381
87,2150.478671,181.7874701,90.97632762
88,2156.045899,175.2352849,84.82874153
89,2161.520224,168.7473538,78.8032883
90,2167.373147,196.4608412,106.4216645
91,2173.148023,189.2822676,100.0127489
92,2178.840772,182.5543746,93.71247844
93,2184.447342,176.0091514,87.52624462
94,2189.96331,169.5287219,81.45936848
95,2195.858141,197.1332426,110.0926302
96,2201.677006,189.9180297,103.6385835
97,2207.41614,183.1864191,97.29037652
98,2213.071689,176.6463269,91.05299112
99,2218.639456,170.1747732,84.93149529
100,2224.581323,198.0371701,114.3917934
101,2230.450114,190.7011871,107.8843887
102,2236.241585,183.9047274,101.4800622
103,2241.952175,177.3553795,95.18332572
104,2247.577982,170.891858,88.99886551
105,2253.534688,197.5297698,117.0995239
106,2259.43283,190.2840989,110.5646412
107,2265.256392,183.5370823,104.1305708
108,2271.000767,177.0033191,97.80192162
109,2276.662208,170.55787,91.58326025
110,2282.631923,197.8194815,121.0693433
111,2288.562388,190.5202994,114.489035
112,2294.431726,183.7830543,108.0071408
113,2300.224224,177.2718189,101.627825
114,2305.936353,170.8385921,95.35535211
115,2311.913386,197.5684583,123.8672485
116,2317.862257,190.3223053,117.2603393
117,2323.760097,183.5947883,110.7497186
118,2329.58528,177.0938694,104.3396156
119,2335.331827,170.6768953,98.03419057
120,2341.289138,197.5129543,126.1315172
121,2347.233162,190.2978831,119.5048182
122,2353.140335,183.574112,112.9728747
123,2358.991953,177.0813173,106.5398703
124,2364.766273,170.6786055,100.2098605
125,2370.734155,198.1111607,129.4848212
126,2376.698169,190.8195032,122.8235541
127,2382.641571,184.0740542,116.2554216
128,2388.529132,177.5923285,109.7842795
129,2394.343196,171.1989548,103.4139258
130,2400.297398,198.1038443,134.0237084
131,2406.266592,190.8600934,127.3144331
132,2412.237063,184.1527034,120.6958005
133,2418.169564,177.6953927,114.1714278
134,2424.033854,171.3152255,107.7449339
135,2429.936771,198.2949501,136.9105537
136,2435.869373,191.0347061,130.1757757
137,2441.815273,184.3162794,123.5300137
138,2447.756788,177.8518587,116.9768398
139,2453.649449,171.4838589,110.5197391
140,2459.506291,197.9090897,139.3475569
141,2465.414761,190.7134647,132.593883
142,2471.354588,184.0452621,125.9275887
143,2477.29287,177.611159,119.3522941
144,2483.201076,171.2591186,112.8714562
145,2489.026378,198.3607545,143.1253451
146,2494.918168,191.1134521,136.3359078
147,2500.845893,184.4216746,129.6323367
148,2506.786611,177.9836303,123.0178749
149,2512.703814,171.6414064,116.4957638
150,2518.422875,198.6600084,147.5069476
151,2524.215668,191.3615386,140.6768129
152,2530.062628,184.6427514,133.9303885
153,2535.941636,178.2047117,127.2708059
154,2541.835819,171.8734038,120.7011877
155,2547.452782,198.7383264,151.750504
156,2553.130378,191.4064655,144.882017
157,2558.873793,184.6809199,138.0953924
158,2564.682352,178.2561356,131.3935526
159,2570.524738,171.9370235,124.7794698
160,2576.020479,198.7864275,155.9821327
161,2581.560784,191.4960493,149.0760664
162,2587.165516,184.7788798,142.2501031
163,2592.849587,178.3536994,135.5070404
164,2598.598156,172.0459047,128.8497015
165,2603.85874,198.3513704,159.1262402
166,2609.236816,191.1488812,152.1958747
167,2614.708169,184.5011908,145.343991
168,2620.27239,178.1047358,138.5734111
169,2625.927231,171.811189,131.8869134
170,2630.868858,198.6368036,163.0081525
171,2635.969706,191.39744,156.0445373
172,2641.246459,184.7296722,149.1579552
173,2646.69114,178.3271743,142.3510967
174,2652.242487,172.0426589,135.626634
175,2656.562615,198.5580968,167.5372564
176,2661.032019,191.284622,160.5354229
177,2665.711897,184.6214563,153.6088195
178,2670.637996,178.2500879,146.7599181
179,2675.808629,171.9764773,139.9912592
180,2679.642543,198.9089764,171.4332278
181,2683.587437,191.6006975,164.3996458
182,2687.71761,184.9043804,157.4397019
183,2692.079192,178.5159391,150.5558443
184,2696.697195,172.248553,143.7505523
185,2700.105703,198.8728689,174.3527957
186,2703.612368,191.6063736,167.2969493
187,2707.294205,184.9433417,160.3135912
188,2711.19429,178.5701859,153.405179
189,2715.336204,172.3101725,146.574122
190,2718.242781,198.699265,177.7421689
191,2721.232233,191.4417359,170.6594045
192,2724.380371,184.7939037,163.6479409
193,2727.728882,178.4332673,156.7100498
194,2731.299712,172.1812972,149.8480377
195,2733.712287,198.6148701,181.2519104
196,2736.191837,191.3687539,174.1411484
197,2738.813235,184.7284186,167.1003439
198,2741.618857,178.3874526,160.1317332
199,2744.628066,172.1415464,153.2375682
200,2746.705782,198.6710116,183.6673124
201,2748.842098,191.4400232,176.5371811
202,2751.10983,184.7986486,169.4762061
203,2753.548837,178.4427574,162.4865816
204,2756.179854,172.2009769,155.5705005
205,2757.927075,198.9360949,186.4074575
206,2759.712597,191.6195665,179.255861
207,2761.61214,184.9400048,172.1725346
208,2763.668018,178.5762558,165.1595715
209,2765.901523,172.337131,158.2190841
210,2767.227258,198.7002854,189.3265341
211,2768.58892,191.4923812,182.1511348
212,2770.058085,184.8725127,175.0428275
213,2771.672838,178.5316266,168.0037758
214,2773.45158,172.296079,161.0361024
215,2774.400436,198.7287972,192.150163
216,2775.376755,191.5135516,184.9508891
217,2776.449871,184.8906324,177.8180462
218,2777.654978,178.5381294,170.7536112
219,2779.010864,172.3047064,163.7595873
220,2779.552815,198.7691845,195.2533473
221,2780.108832,191.547597,188.0274425
222,2780.74948,184.928312,180.8669694
223,2781.510394,178.5845197,173.773892
224,2782.408805,172.352094,166.7501908
225,2782.643512,198.3956322,197.2324449
226,2782.886356,191.1983306,189.9895973
227,2783.204606,184.5810835,182.811591
228,2783.636435,178.2633187,175.7003311
229,2784.196049,172.0345511,168.6577696
230,2784.107449,198.4281189,199.9005483
231,2784.011152,191.1841463,192.6355665
232,2783.978066,184.5619467,185.4346784
233,2784.046475,178.2446157,178.2997038
234,2784.230021,172.0160953,171.2325278
235,2783.939338,198.1665276,201.1831107
236,2783.650576,191.0458609,193.9064998
237,2783.426864,184.4721013,186.6935531
238,2783.299418,178.1481044,179.5461194
239,2783.282004,171.9199814,172.4660799
240,2782.657631,199.0439133,204.7008124
241,2782.0112,191.7745346,197.3927801
242,2781.410968,185.119561,190.1477132
243,2780.89262,178.7639452,182.9673089
244,2780.472009,172.5286927,175.8533485
245,2779.612652,198.883468,206.4721243
246,2778.725731,191.6269522,199.1483092
247,2777.879564,184.9864391,191.8869162
248,2777.110225,178.649746,184.6896569
249,2776.430976,172.4138775,177.5582939
250,2775.337718,198.6678974,208.1385596
251,2774.215689,191.4527563,200.7990252
252,2773.13153,184.841504,193.5215196
253,2772.11844,178.5100986,186.307678
254,2771.188661,172.2733384,179.1592459
255,2769.863185,198.8382716,210.2199951
256,2768.499675,191.5808429,202.861168
257,2767.163603,184.9288039,195.5639229
258,2765.889474,178.576854,188.3298437
259,2764.690804,172.3366615,181.1606241
260,2763.139384,198.6103266,211.8617408
261,2761.550023,191.4164219,204.487045
262,2759.986266,184.8046142,197.1734154
263,2758.479127,178.4615681,189.9224418
264,2757.040651,172.2192315,182.7358231
265,2755.292388,198.7908297,213.7045066
266,2753.499922,191.5731175,206.3119235
267,2751.726315,184.9410899,198.9800234
268,2750.003958,178.5944951,191.7103906
269,2748.344184,172.3471496,184.5047016
270,2746.50622,198.5215702,214.1775506
271,2744.620523,191.3012934,206.7781516
272,2742.753386,184.6889389,199.4393297
273,2740.936087,178.3512424,192.162651
274,2739.178629,172.102307,184.9497693
275,2737.41236,198.0673375,213.0607971
276,2735.610314,190.927869,205.6671391
277,2733.8325,184.337731,198.334277
278,2732.10511,177.9803741,191.0638572
279,2730.440352,171.7309359,183.8575649
280,2728.644943,198.7753888,214.1229273
281,2726.805357,191.5572003,206.7178571
282,2724.984478,184.924256,199.3734613
283,2723.213431,178.5700441,192.0913263
284,2721.5027,172.3111239,184.8730945
285,2719.570946,198.821796,215.3452201
286,2717.584948,191.5516378,207.9265852
287,2715.611509,184.9064643,200.5688618
288,2713.68045,178.5298243,193.2730618
289,2711.80437,172.2669791,186.0408089
290,2709.749168,198.8503342,216.363128
291,2707.641974,191.6156921,208.9329015
292,2705.543234,184.9529464,201.5627849
293,2703.48474,178.5790923,194.2543505
294,2701.477888,172.3112218,187.0092325
295,2699.342776,198.5663267,216.7359362
296,2697.158001,191.3708079,209.2990151
297,2694.983866,184.7451015,201.9221481
298,2692.850422,178.3905531,194.6068592
299,2690.766521,172.11982,187.3547775
300,2688.577278,199.0053202,217.6650464
301,2686.325349,191.6981894,210.2165107
302,2684.076188,185.0165735,202.8280111
303,2681.862954,178.6380004,195.5009625
304,2679.696189,172.3599253,188.2369417
305,2677.424193,199.0080169,218.3691882
306,2675.092818,191.7439291,210.9110409
307,2672.763535,185.0640553,203.512677
308,2670.467071,178.668556,196.1756146
309,2668.215033,172.3850314,188.9014501
310,2665.846112,198.4439552,218.5653924
311,2663.424781,191.2679292,211.101501
312,2661.008247,184.6326455,203.6972587
313,2658.623443,178.2467969,196.3542065
314,2656.280624,171.9619928,189.0739642
315,2653.929563,198.2548554,218.2543947
316,2651.528236,191.0952657,210.7891092
317,2649.134352,184.4783526,203.3834849
318,2646.773635,178.0993168,196.039125
319,2644.455107,171.810515,188.7576678
320,2642.027349,198.7867313,219.4740273
321,2639.536154,191.5244788,211.9943384
322,2637.042326,184.8435404,204.574162
323,2634.576422,178.4427857,197.214979
324,2632.148999,172.145109,189.9184027
325,2629.726515,198.1029515,218.6961586
326,2627.257075,190.984925,211.21858
327,2624.796736,184.3901484,203.8005234
328,2622.370089,178.0218739,196.4436087
329,2619.983642,171.7226697,189.1495034
330,2617.591166,198.3013902,218.6353946
331,2615.142954,191.0962161,211.1535485
332,2612.700642,184.4676468,203.7314108
333,2610.291622,178.0885411,196.3705109
334,2607.923029,171.783127,189.0724923
335,2605.615964,198.5497814,218.1431286
336,2603.252768,191.3075991,210.6604232
337,2600.894289,184.6386003,203.2376189
338,2598.570044,178.2402668,195.8762894
339,2596.288549,171.9278247,188.5780758
340,2594.088388,198.4047331,217.0981108
341,2591.838091,191.1906956,209.6196099
342,2589.597951,184.5408431,202.2013074
343,2587.395355,178.1412157,194.8447764
344,2585.238653,171.8244479,187.5516722
345,2583.176338,198.5080978,216.0153978
346,2581.066265,191.2686218,208.5413482
347,2578.96712,184.5814502,201.1278309
348,2576.907888,178.1609966,193.7764605
349,2574.898639,171.8389531,186.4888985
350,2572.930106,198.3216383,215.047134
351,2570.91541,191.0826061,207.5771935
352,2568.9144,184.4038581,200.1679424
353,2566.956379,177.9895926,192.8210441
354,2565.050815,171.6642936,185.5382013
355,2563.207786,198.434641,214.0969979
356,2561.321238,191.183861,206.6307588
357,2559.451173,184.4932458,199.2255855
358,2557.627657,178.0727165,191.8831075
359,2555.860421,171.742063,184.6050145
360,2554.152391,198.1724168,212.6630053
361,2552.40867,190.9492312,205.2048698
362,2550.686365,184.2609084,197.8081553
363,2549.015729,177.8430928,190.4745268
364,2547.406074,171.5102731,183.2057071
365,2545.843756,198.0247003,211.2195975
366,2544.263246,190.9028425,203.7694649
367,2542.715847,184.257076,196.3811858
