DAY,Muscle Mass,Anabolic,Catabolic
1,1994.123417,50.01011946,52
2,1993.13889,50,52
3,1992.154363,50,52
4,1991.169836,50,52
5,1993.423496,81.80140067,74.71794416
6,1996.305638,73.21517929,65.24905778
7,1999.769228,64.91416236,56.49571221
8,2001.690125,57.00857017,52.63679011
9,2001.335599,51.49167418,52.10933231
10,2003.935982,82.35941103,74.11222658
11,2007.196617,73.76855018,64.6732389
12,2011.07967,65.46079079,55.90512771
13,2013.093122,57.48606542,52.62173069
14,2012.822206,51.85378975,52.08312381
15,2015.533095,83.47618424,74.69560547
16,2018.902955,74.8640063,65.24518512
17,2022.811316,66.53167079,56.5685907
18,2025.183098,58.53180395,52.64974493
19,2025.106908,52.34811892,52.06677184
20,2027.930273,83.72787221,74.49611531
21,2031.418311,75.1200777,65.06131405
22,2035.497175,66.7917088,56.30248586
23,2037.867987,58.77826273,52.67565257
24,2037.944764,52.8122068,52.07936034
25,2040.926737,85.41282791,75.49311141
26,2044.567609,76.7625467,66.0299156
27,2048.838399,68.38820325,57.09660017
28,2051.819405,60.31929168,52.66160032
29,2052.103192,53.3150742,52.05995713
30,2055.21286,85.91007786,75.47934035
31,2058.987479,77.26109122,66.03124711
32,2063.30461,68.88644247,57.21743982
33,2066.389967,60.86953392,52.80109601
34,2066.868061,53.92673202,52.11060233
35,2070.136564,87.32162452,76.17801386
36,2074.057197,78.64178446,66.71141993
37,2078.521831,70.23337485,57.84571815
38,2082.020229,62.11884829,52.78435652
39,2082.865442,54.75438567,52.13105256
40,2086.341239,88.2827924,76.32182667
41,2090.460496,79.59104656,66.86196362
42,2095.150179,71.16801561,57.82898801
43,2098.87041,63.03588599,52.97533055
44,2099.889604,55.43826558,52.21685322
45,2103.448667,87.54090909,75.28529854
46,2107.650897,78.88740601,65.87552742
47,2112.387566,70.50255783,56.99009164
48,2115.92966,62.40945715,52.7939459
49,2116.755435,54.93534426,52.13772886
50,2120.230645,88.27127232,76.17774158
51,2124.358725,79.61033019,66.74712601
52,2129.02261,71.21615186,57.88054026
53,2132.8118,63.11108341,52.88596295
54,2133.878672,55.52841299,52.14517076
55,2137.510006,88.71650123,76.08109973
56,2141.784064,80.05657191,66.66579612
57,2146.582644,71.66194445,57.74603483
58,2150.558914,63.5549489,52.81308376
59,2151.827309,55.9440341,52.20607673
60,2155.552825,88.70928297,75.81207276
61,2159.9568,80.06791122,66.41980468
62,2164.821347,71.69160187,57.59188341
63,2168.649036,63.60249237,52.96531919
64,2169.887218,56.09083889,52.26256695
65,2173.623838,91.05428084,77.61674774
66,2177.986022,82.3623864,68.17284985
67,2182.847968,73.93066278,59.14934902
68,2187.093726,65.78004808,53.30818435
69,2188.991203,58.01640459,52.36895508
70,2193.099554,91.96015343,76.94738216
71,2197.779067,83.25992798,67.53939662
72,2202.798969,74.81805008,58.53613178
73,2207.122891,66.65503694,53.35358215
74,2209.225346,58.82511326,52.33290651
75,2213.493514,94.17241842,78.04758993
76,2218.253748,85.42416305,68.61337031
77,2223.298017,76.92978737,59.57199806
78,2228.001264,68.70868926,53.23799532
79,2230.893648,60.78493204,52.27927675
80,2235.545742,93.78396902,76.17197331
81,2240.605725,85.06792689,66.8234039
82,2245.691828,76.60391518,57.99521464
83,2250.352586,68.41229736,53.06058692
84,2253.191588,60.51405154,52.25134222
85,2257.862925,95.04535743,77.35517501
86,2262.971099,86.31198684,67.97623363
87,2268.066455,77.82847894,59.12842781
88,2272.825692,69.61418486,53.19537162
89,2276.062518,61.69768338,52.27745277
90,2280.923922,95.94093223,77.1741077
91,2286.122601,87.20273785,67.81683995
92,2291.21869,78.71204708,58.91995904
93,2296.039557,70.48794626,53.25417168
94,2299.576721,62.55752996,52.40482246
95,2304.589084,94.75700201,75.69547236
96,2309.818557,86.07053264,66.40877848
97,2314.88154,77.632625,57.6311665
98,2319.62974,69.46292219,53.04534479
99,2322.806322,61.6071916,52.32229656
100,2327.664418,96.8089551,77.9785756
101,2332.858315,88.08492706,68.62279783
102,2337.984931,79.60646715,59.67643484
103,2342.820073,71.39188405,53.49978783
104,2346.480788,63.4598906,52.45035879
105,2351.558327,99.41864267,78.74089179
106,2356.808183,90.64263762,69.37241918
107,2361.94938,82.10769693,60.3593153
108,2366.923925,73.83106339,53.72235564
109,2371.206909,65.83068418,52.5288484
110,2376.566168,102.6430179,79.53901303
111,2381.895165,93.80327749,70.15849667
112,2387.05235,85.19878986,61.12108459
113,2392.054722,76.84607737,53.97407913
114,2396.793982,68.76222535,52.57023363
115,2402.235059,103.0262405,77.61523969
116,2407.531952,94.19852415,68.31878512
117,2412.652995,85.60351996,59.40340098
118,2417.643349,77.25835327,53.43278696
119,2422.464494,69.18015097,52.48293362
120,2427.920844,103.8241737,77.84226101
121,2433.222165,94.994581,68.55284991
122,2438.348921,86.3963343,59.66888624
123,2443.34002,78.04601638,53.45551145
124,2448.181562,69.96029453,52.44298486
125,2453.670177,106.8045733,79.55888183
126,2459.002353,97.91991331,70.22416338
127,2464.162294,89.262017,61.247271
128,2469.166014,80.84641684,54.01520131
129,2474.106134,72.6889751,52.48115072
130,2479.575038,107.9382726,78.38399087
131,2484.886568,99.04736657,69.10653195
132,2490.025151,90.38044826,60.22795626
133,2495.021538,81.95342907,53.70680798
134,2499.959068,73.78201234,52.48324809
135,2505.444839,110.3014885,79.40906985
136,2510.774614,101.37357,70.11065125
137,2515.933184,92.66622244,61.19221432
138,2520.937065,84.19436543,54.03159582
139,2525.894086,75.97300145,52.49476762
140,2531.395076,113.6304947,80.36270319
141,2536.741601,104.6422962,71.04659545
142,2541.917742,95.87042647,62.06256961
